step,pos_x,pos_y,pos_z,target_x,target_y,target_z,error,action_0,action_1,action_2,action_3
0,0.0,0.0,0.03317017226848852,1.5,0.0,1.0,1.7845895650796977,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
1,0.0,0.0,0.04161959159757639,1.4998712232196119,0.019654866005771727,1.0,1.780026125428949,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
2,0.0,0.0,0.05534051823429224,1.499484914989727,0.039306357224392546,1.0,1.7726763766942504,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
3,0.0,0.0,0.07432300351221525,1.4988411416403848,0.05895109944817052,1.0,1.7626337968581693,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
4,0.0,0.0,0.09855490630387322,1.497940013708998,0.07858571962823213,1.0,1.7500295017367047,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
5,0.0,0.0,0.12802191310062927,1.4967816859213714,0.09820684645368279,1.0,1.735034807729426,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
6,3.8708411161796175e-06,3.862030523461073e-06,0.16251342318814926,1.4953663571651359,0.11781111093046899,1.0,1.7179555523175096,21666.447500000002,21666.447500000002,21666.447500000002,20141.518102700946
7,7.089525293098742e-05,6.985624340168527e-05,0.20071206304557151,1.4936942704555989,0.13739514695984242,1.0,1.699597078305041,19241.844992658516,19320.97531479863,19326.13816522722,17686.868487367334
8,0.00033903991135406396,0.00032232638308891053,0.24086923641558058,1.4917657128940172,0.15695559191632732,1.0,1.6808233152166843,15041.640990820433,17476.102617838875,16760.04099082043,17476.102617838875
9,0.0009851162161374546,0.0008540341022610124,0.2818101185460707,1.4895810156183027,0.17648908722509105,1.0,1.6620957040511264,15622.242416144018,14763.042416144017,16815.866928655065,14238.266928655063
10,0.002222006624445604,0.0016952340485637412,0.32290812357661824,1.4871405537461637,0.19599227893861942,1.0,1.6435290816890398,15531.235258750006,14672.035258750006,15531.235258750006,12953.635258750004
11,0.0043188017435427505,0.002879821397893109,0.3638622342216996,1.4844447463106967,0.2154618183125977,1.0,1.6250031305331263,15301.635237725492,14442.43523772549,15301.635237725492,12724.035237725493
12,0.007623694746131579,0.004480749169359449,0.4045509450186002,1.4814940561884382,0.2348943623808975,1.0,1.606220362394125,15382.546657506304,14523.346657506303,15382.546657506304,12804.946657506302
13,0.01258433170015186,0.006597392797062404,0.4449271927621095,1.4782889900198866,0.2542865745295724,1.0,1.5867406522499015,15655.66080258015,14796.46080258015,15655.66080258015,13078.060802580152
14,0.019755484580387412,0.00933029574634351,0.4849335882052938,1.474830098122511,0.2736351250697621,1.0,1.5660116801408335,16035.527693419452,13457.927693419453,16035.527693419452,15176.327693419451
15,0.029682173116304722,0.012704660398566521,0.5244000445786562,1.4711179743962615,0.29293669180940857,1.0,1.5435227495042056,16202.622033176911,13625.022033176909,16202.622033176911,15343.42203317691
16,0.04271547362105751,0.016605028114413774,0.5630156726159085,1.4671532562215939,0.31218796062368326,1.0,1.5189955789501295,14978.908566233604,14494.38254060084,14978.908566233604,16212.782540600841
17,0.05895790124691542,0.020806394888636504,0.6003990701041761,1.46293662435003,0.3313856260240313,1.0,1.492413018206593,14185.365224477187,14336.066453237243,14185.365224477187,16054.46645323724
18,0.07827366142175221,0.025045461008020395,0.6361633081999666,1.4584688027872723,0.3505263917257311,1.0,1.4639855200137217,15659.205973152282,13081.60597315228,13940.80597315228,13081.60597315228
19,0.10038512782049298,0.02911029717345444,0.6699510419064661,1.4537505586688888,0.3696069712138742,1.0,1.4340391519016067,14848.475649927077,12270.875649927078,13130.075649927076,12270.875649927078
20,0.12501183268916888,0.03288043236972962,0.7014676963637771,1.4487827021285953,0.38862408830766815,1.0,1.4028700580705453,13297.438520503561,12438.23852050356,13297.438520503561,10719.838520503561
21,0.15192956341501754,0.03627772496070497,0.7304787981174634,1.4435660861591524,0.4075744777229641,1.0,1.3707034193298582,11873.27340433878,12796.547469367273,11873.27340433878,11078.147469367275
22,0.1809774582084722,0.039214793336648845,0.7567896154509606,1.4381016064659056,0.42645488563291406,1.0,1.3377097235073419,10848.610095904338,12933.830696778652,10356.23069677865,11707.810095904337
23,0.21201680709469595,0.04159587424623825,0.7802225043287766,1.43239020131299,0.4452620702266606,1.0,1.3040551241020064,11002.703886247322,11861.90388624732,9440.3,11861.90388624732
24,0.2449130896191798,0.04333667852314582,0.8006153829889457,1.4264328513622289,0.46399280226596373,1.0,1.2699191892921098,10520.644878784591,11379.84487878459,9440.3,11379.84487878459
25,0.27953034233113405,0.04437790788422778,0.8178229515132793,1.42023057950475,0.482643865639668,1.0,1.2355009339577896,10010.700465131653,10869.900465131654,9440.3,10869.900465131654
26,0.3157231500868083,0.0446821268434234,0.8317125109510108,1.413784450685355,0.5012120579159175,1.0,1.2010324212141992,9440.3,9446.622719223124,9440.3,11165.022719223125
27,0.353389521912876,0.04420878345045575,0.8422028857479295,1.407095571719664,0.5196941908920203,1.0,1.1667402201671015,9440.3,9440.3,9440.3,10628.179689478879
28,0.3924626846282807,0.04291843920294095,0.8492617508567646,1.4001650911040742,0.5380870911418705,1.0,1.1328628132456684,9440.3,9440.3,9440.3,10208.058906415667
29,0.43288709719987567,0.040779328212533404,0.8528816983338361,1.3929941988185588,0.5563876005608333,1.0,1.099682377679011,9440.3,9440.3,9440.3,9981.064433028158
30,0.4746235029656353,0.037760799138906904,0.8530767051823078,1.385584126122346,0.5745925769079987,1.0,1.0675317649254623,9440.3,9440.3,9440.3,9994.758662393604
31,0.517652183132156,0.033829556570957514,0.8498814868550365,1.3779361453425083,0.5926988943457121,1.0,1.0368022956812886,9440.3,9440.3,9440.3,10282.240561342333
32,0.5619622598270668,0.028958541156941686,0.8433440811841767,1.3700515696555007,0.6107034439762875,1.0,1.0079566168815572,9440.3,10083.001680376292,9440.3,9943.895735708935
33,0.6076061310345382,0.023085039787543157,0.8335611615497529,1.3619317528616854,0.6286031343758134,1.0,0.9815096502650339,9440.3,11669.893662584347,9440.3,9951.493662584347
34,0.6546902787427935,0.016093223934071026,0.8206743404806293,1.3535780891528812,0.6463948921249572,1.0,0.9580616142117782,9863.217234011147,12298.215160275682,9720.615160275684,10722.417234011147
35,0.7033106034670777,0.007835849946203765,0.8048290620133807,1.3449920128729769,0.664075662336678,1.0,0.938348238969948,10706.275115542343,11565.475115542344,9856.905439058613,12434.505439058612
36,0.7535389311523943,-0.001834948008845593,0.7861577314764029,1.3361749982716524,0.6816424091807592,1.0,0.9232196923302717,10745.707251089538,11604.907251089538,10624.450758294997,13202.050758294998
37,0.805474366857394,-0.013062319025882663,0.7648107183168269,1.3271285592512447,0.6990921164050669,1.0,0.9135650138685817,11574.846721732094,12434.046721732095,10852.020497259426,13429.620497259428
38,0.8592584522743637,-0.025979826345946113,0.7409630409702535,1.3178542491068086,0.7164217878534473,1.0,0.9102584291186919,12026.191794790839,12885.391794790838,11479.171576164796,14056.771576164796
39,0.91505058799809,-0.04068209872844095,0.7147812964399011,1.3083536602594115,0.7336284479801752,1.0,0.9141082202096719,12199.380754705244,13058.580754705243,12199.380754705244,14776.980754705244
40,0.9730588960879802,-0.05722556855942374,0.6864524553178745,1.2986284239827117,0.7507091423608603,1.0,0.9257786330325575,12754.419118998634,13613.619118998631,12754.419118998634,15332.019118998633
41,1.0336038233360254,-0.07564242969909177,0.6562471329806477,1.288680210122864,0.7676609381997307,1.0,0.9457222462170116,13548.767793010313,14407.967793010313,13536.947429765285,16114.547429765284
42,1.0971527187246817,-0.09591809587912646,0.624557156929339,1.278510726811804,0.7844809248331999,1.0,0.9741408990395245,16214.803317132533,14228.055190133568,15795.521992754599,15527.173865755638
43,1.1642979853436657,-0.117926276998294,0.5918794952345803,1.268121720173957,0.8011662142296345,1.0,1.010976123237167,17454.075102877177,15594.23133443743,16665.13927915897,16523.695510719223
44,1.2356400887507888,-0.14134232990378015,0.5586959186601208,1.2575149740264242,0.817713941485237,1.0,1.0559435280845566,16934.137224309226,17089.348409048256,16934.137224309226,18807.748409048258
45,1.3117688318921388,-0.16559343599068616,0.5254699883086031,1.2466923095726985,0.8341212653159558,1.0,1.1085319886054972,18394.56307608944,17484.03640561966,18394.56307608944,19202.43640561966
46,1.3933354556555395,-0.18978989323987785,0.492779346767513,1.2356555850899578,0.8503853685453402,1.0,1.1679470484046426,19433.242706148652,18867.29576811057,20928.962898060447,19089.975576198773
47,1.480941084475844,-0.2126912373432596,0.4613673004445667,1.224406695609995,0.8665034585882578,1.0,1.2331245960680002,20007.54616969838,21666.447500000002,20642.222025519626,21501.422025519627
48,1.574682374444581,-0.23288776973414183,0.4318684573936076,1.2129475725938377,0.8824727679303859,1.0,1.30294076824452,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
49,1.6739733992473644,-0.24910116858720419,0.4045218635851613,1.2012801836001095,0.8982905546034017,1.0,1.3764232101767755,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
50,1.7778776833963619,-0.2602460108512374,0.3793345590972287,1.1894065319471976,0.9139541026557845,1.0,1.4526767679627977,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
51,1.88531779594798,-0.2653983590737483,0.3562356574172956,1.1773286563692764,0.9294607226191508,1.0,1.5308067727986878,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
52,1.9951061371799776,-0.2638155820066334,0.33508007664072953,1.1650486306662544,0.9448077519700424,1.0,1.6099330209771998,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
53,2.1059773368458905,-0.2549507578755958,0.31565401256942927,1.1525685633476956,0.9599925555870884,1.0,1.689202467090118,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
54,2.2166213410526074,-0.23846159678934103,0.29768191233286984,1.1398905972707842,0.9750125262034608,1.0,1.7678006782560423,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
55,2.325716315377969,-0.2142139682278971,0.2808346866926793,1.1270169092723918,0.98986508485455,1.0,1.8449621622500019,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
56,2.431960561694246,-0.18228025220775562,0.26473888778062404,1.113949709795307,1.0045476813207779,1.0,1.9199797011085948,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
57,2.5341027309705706,-0.14293284672392886,0.24898657600158328,1.1006912425087,1.0190577945654768,1.0,1.9922128171268412,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
58,2.630969709920609,-0.09663325838142592,0.23314560436467258,1.0872437839228783,1.0333929331677578,1.0,2.06109548354508,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
59,2.7214916618383165,-0.04401727744195837,0.21677005962569396,1.0736096429984021,1.0475506357502933,1.0,2.1261431740655516,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
60,2.8047238077792147,0.014123206873073028,0.19941061630968504,1.0597911607496342,1.061528471401942,1.0,2.1869593256643083,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
61,2.8798646402613293,0.07686115927884864,0.18062458089331532,1.0457907098427794,1.0753240400951405,1.0,2.243241267462145,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
62,2.9462703651710416,0.143157510041148,0.15998542813445635,1.031610694188494,1.088934973097996,1.0,2.2947856427692104,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
63,3.0034654662688127,0.21188581426953257,0.1370916587326505,1.0172535485291265,1.1023589333810018,1.0,2.34149331911497,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
64,3.051149378662037,0.2818578611455198,0.1115748361869456,1.0027217380206686,1.1155936160183106,1.0,2.383373738966073,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
65,3.089199341178151,0.35184966187438554,0.08310668984144914,0.9880177578094809,1.1286367485834963,1.0,2.4205486085966554,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
66,3.1162782765228,0.4182716200505418,0.05904535891434135,0.9731441326038706,1.141486091539735,1.0,2.44978749429071,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
67,3.1284624367610574,0.47346563766593,0.0626570958047197,0.9581034162405937,1.1541394386243389,1.0,2.4601599178327733,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
68,3.131824072071811,0.5296857858953415,0.0650134309178668,0.9428981912463534,1.1665946172275763,1.0,2.4639905144988843,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
69,3.1270055472529146,0.5899298565580288,0.0639617773482447,0.9275310683943766,1.1788494887657146,1.0,2.4618452166240528,21666.447500000002,20549.98444826701,21666.447500000002,21666.447500000002
70,3.118799290303993,0.6506262871723207,0.06093940693331271,0.9120046862561364,1.1909019490482187,1.0,2.4583887025287385,9440.3,9440.3,9440.3,9440.3
71,3.1097729654016204,0.7094563119049848,0.06163952643620879,0.8963217107483032,1.202749928639048,1.0,2.45422603428938,10095.037292815836,12672.637292815838,10095.037292815836,10954.237292815837
72,3.0959577473247255,0.7646263938686939,0.06303173768280704,0.8804848346750005,1.2143913932119814,1.0,2.4471449294859147,19944.395885469497,21666.447500000002,21662.795885469495,21666.447500000002
73,3.0738964531695547,0.8145807400506587,0.06697570616788259,0.8644967772654446,1.2258243438999163,1.0,2.433331576763231,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
74,3.042807845342683,0.8620539802804825,0.06782341170360252,0.8483602837070461,1.2370468176380798,1.0,2.4135395005273903,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
75,3.0052036764547503,0.9083800177186672,0.06385498663667245,0.8320781246740543,1.2480568875010902,1.0,2.3904440017938855,16386.63875314685,13809.038753146851,16386.63875314685,15527.43875314685
76,2.9675683533669255,0.9531521875536506,0.06190299868600624,0.8156530958518267,1.2588526630338162,1.0,2.3673229691170956,9440.3,9440.3,9440.3,9440.3
77,2.9301565910472127,0.9967669902952201,0.06247359798581348,0.7990880174568031,1.269432290575971,1.0,2.3440894577203153,9440.3,9440.3,9440.3,9440.3
78,2.8911534203566105,1.037323321748699,0.06069383630008634,0.7823857337522657,1.2797939535803913,1.0,2.3212042634227927,15666.825721540143,16526.025721540143,13948.425721540145,16526.025721540143
79,2.847687008185395,1.0715587096396022,0.061659716071155994,0.7655491125599769,1.289935872924942,1.0,2.29422520478868,21053.440591599152,21666.447500000002,21666.447500000002,21666.447500000002
80,2.798835447659158,1.1004223530505959,0.06177396433108483,0.7485810447677622,1.299856307217996,1.0,2.263533766626292,18029.10766037955,20606.707660379554,18029.10766037955,18888.307660379553
81,2.748374011676259,1.12751393949185,0.06129854514979999,0.7314844438331408,1.3095535530974365,1.0,2.2320713185590537,9440.3,9440.3,9440.3,9440.3
82,2.6979461305391323,1.1533541358077966,0.0626486538510614,0.7142622452830789,1.3190259455231255,1.0,2.200244634418212,9440.3,9440.3,9440.3,9440.3
83,2.647589863979879,1.1774880759223967,0.06184625092679217,0.69691740620995,1.3282718580627972,1.0,2.169790598965452,9440.3,9440.3,9440.3,9440.3
84,2.5965908827344046,1.1967567166700348,0.06298843200955274,0.6794529047637965,1.337289703171321,1.0,2.138494382835765,17405.71425832921,18264.914258329212,15687.314258329214,18264.914258329212
