step,pos_x,pos_y,pos_z,target_x,target_y,target_z,error,action_0,action_1,action_2,action_3
0,0.0,0.0,0.03317017226848852,0.0,0.0,1.0,0.9668298277315115,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
1,0.0,0.0,0.04161959159757639,0.01638306183322374,0.01638086304015089,1.0,0.9586603906486216,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
2,0.0,0.0,0.05534051823429224,0.03276172608030178,0.032744139276796744,1.0,0.9457943993504057,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
3,0.0,0.0,0.07432300351221525,0.04913159633550047,0.04907226078795647,1.0,0.9282779230187272,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
4,0.0,0.0,0.09855490630387322,0.06548827855359349,0.0653476973944253,1.0,0.9061800555802833,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
5,0.0,0.0,0.12802191310062927,0.08182738222932338,0.08155297548050572,1.0,0.8795978582994131,21666.447500000002,21666.447500000002,21666.447500000002,21666.447500000002
6,1.932031067003594e-06,1.9298722301877264e-06,0.16261231541162638,0.09814452157591294,0.09767069675401094,1.0,0.8487574978797261,21666.447500000002,21666.447500000002,21666.447500000002,20932.16796404994
7,3.581837062081365e-05,3.566109082028249e-05,0.20087442035109587,0.11443531670231022,0.11368355692539955,1.0,0.815232961487308,18286.409082719187,19915.44870927143,18286.409082719187,18197.04870927143
8,0.0001844455782234976,0.00018355822992424754,0.24079619696884544,0.1306953947888506,0.12957436428598695,1.0,0.7811309129029939,16521.799004051118,15705.682000272289,16486.53221921657,15787.592094976375
9,0.0005363201550978201,0.0005349237170191928,0.2809759665776704,0.1469203912610211,0.14532605816528824,1.0,0.7479226761686506,14774.215399740624,13323.868501582489,14839.324089622169,14339.31254065908
10,0.001140266816248174,0.0011378574951977321,0.3205508924500952,0.16310595096101144,0.16092172724767564,1.0,0.7165297325470312,12435.63951708866,14574.319737036025,12435.63951708866,12855.919737036027
11,0.0020409167938511617,0.00203276014686385,0.3589931541031535,0.1792477293167372,0.17634462772868603,1.0,0.6875148420732512,12358.246700279175,13084.637083114703,12358.246700279175,11366.237083114705
12,0.0033173496671996703,0.0032933928070769374,0.3960086939504398,0.19534139350802188,0.1915782012914852,1.0,0.6611579994997003,12802.367190748711,10381.674288583816,12529.810982943025,11827.518080778129
13,0.005056964228694757,0.005004643584019573,0.431436667003914,0.21138262362962432,0.20660609288418907,1.0,0.6375560255497358,11171.207808381605,11340.673471633174,11355.16150356429,12875.11977645049
14,0.00732948223374156,0.00723468246186816,0.46519440553489916,0.2273671138507991,0.2214121682789557,1.0,0.6166892074860258,11034.714414973208,12967.664582933128,11111.6275274523,11326.177695412214
15,0.01020958942533669,0.010051445822309808,0.4972452794801977,0.24329057357107997,0.23598053139399694,1.0,0.598442149152741,12087.205851702438,10814.25079461398,11936.778798368648,11699.90035188374
16,0.013786729497440345,0.013536911571202554,0.5275818845868913,0.2591487285719739,0.2502955413599112,1.0,0.5826113929024659,11743.371620804104,10842.745809577938,11743.371620804104,12561.145809577938
17,0.018135934372633843,0.017761658582305356,0.5562193616028471,0.27493732216425903,0.2643418293120164,1.0,0.5689375962133129,11256.99550051862,11524.969466467839,11489.366976345482,13010.997990640979
18,0.02330688057500169,0.02276966258409541,0.5831824263250728,0.29065211633057647,0.27810431489065224,1.0,0.5571410498912888,12122.887047898133,11932.952565377132,12163.609070574585,11476.639879573268
19,0.029342047112676545,0.028593985218179872,0.608510577991516,0.3062888928630104,0.2915682224317393,1.0,0.5469177016276302,12224.913261435937,11395.658036667839,11889.985357596597,12676.930995089824
20,0.03627829756245638,0.035266391834993596,0.6322572708221614,0.3218434544953513,0.30471909683021065,1.0,0.5379469620199686,11755.017464269094,11730.9277163215,11803.410464350662,13400.934716239932
21,0.04412385485994614,0.042798177743834084,0.6544873535285315,0.33731162602973724,0.3175428190592848,1.0,0.5299270477780724,12670.498912247884,12299.808523005737,12797.230470077619,11426.802885556695
22,0.05287502475796274,0.051187279562629945,0.6752713932725289,0.35268925545737206,0.33002562132891955,1.0,0.5225782829356932,12242.320717800654,12093.237924959703,12434.39937409386,12944.91223578532
23,0.06253283428663252,0.06042996664524776,0.6946929581730024,0.3679722150730191,0.34215410186717127,1.0,0.5156298027566522,11867.229278849489,12393.953831088991,11867.229278849489,14112.353831088989
24,0.07307450270406123,0.07049697821830318,0.7128476337943234,0.3831564025829704,0.3539152393085892,1.0,0.5088547698208934,14054.417083514269,12181.017912653224,12956.782372153139,11560.252624014354
25,0.08444631114403803,0.08134895393048423,0.7298260422585788,0.3982377422061967,0.36529640667419994,1.0,0.5020808556092786,12791.403872288742,12685.111581723715,13793.45476175701,11968.762471191985
26,0.09659999881973899,0.09295847135540437,0.7457157138393512,0.41321218576837815,0.37628538492806923,1.0,0.4951544355726232,11486.135755690244,13494.7677262762,12635.5677262762,14063.735755690243
27,0.1095071622936414,0.10527540665082921,0.760600448849141,0.428075713788528,0.3868703760958905,1.0,0.48794855662205616,12160.282749625248,13019.482749625247,12160.282749625248,14737.882749625249
28,0.12312557175964614,0.11820826732616857,0.774570153269534,0.4428243365579114,0.39704001593151145,1.0,0.4803884470309117,14849.934456665778,12272.334456665776,13131.534456665777,12272.334456665776
29,0.13737175999045997,0.13165670236271593,0.7877194322670791,0.4574540952109746,0.4067833861178041,1.0,0.47245151377818806,14094.997688061743,13235.797688061743,14094.997688061743,11517.397688061745
30,0.1521494002475311,0.14555226373990357,0.8001218600608803,0.4719610627879939,0.41609002598877526,1.0,0.46413516471502586,11586.39304648313,14163.99304648313,13304.79304648313,14163.99304648313
31,0.16739233014447444,0.15982800594386634,0.8118301579336966,0.48634134528916134,0.42494994376033496,1.0,0.4554404523497915,12501.710975175909,13360.91097517591,12501.710975175909,15079.310975175908
32,0.18303651273421834,0.17437677609357038,0.8228998217868966,0.5005910827198224,0.4333536272576645,1.0,0.4464015988778762,15053.364596812393,12677.675938793189,13536.875938793186,12475.764596812394
33,0.19898117320382808,0.18908241990888183,0.8333902810521602,0.514706450126587,0.44129205412766664,1.0,0.4370937525618551,14366.516669551926,13507.316669551925,14366.516669551926,11788.916669551927
34,0.21512033334936248,0.2038656428755554,0.8433434169415852,0.5286836586240328,0.44875670152553415,1.0,0.4275919486842029,11829.39187996101,14406.99187996101,13547.791879961009,14406.99187996101
35,0.23138467955818282,0.21865328118097227,0.8527768265571558,0.542518956411729,0.45573955526503634,1.0,0.4179582543637879,12825.610720976554,14267.045180381461,13062.077235322184,14172.93907422533
36,0.2477332651223424,0.23335021798455194,0.8617190133714131,0.5562086297813045,0.46223311842270104,1.0,0.40824755232264986,15348.999895713761,12771.39989571376,13630.59989571376,12771.39989571376
37,0.26411326975668514,0.24787736559255671,0.870195763873557,0.5697490041132919,0.4682304193866527,1.0,0.3985195229200891,14285.495982232864,13386.10908754632,14762.986854680672,12225.573749367217
38,0.28046483175144554,0.2621875642333264,0.8782244740636681,0.5831364448634786,0.47372501934146677,1.0,0.38882834132112715,12075.652936796283,14458.482296979619,13599.282296979618,14653.252936796282
39,0.2967608344011557,0.2762263013797907,0.8858202709235117,0.5963673585385013,0.47871101918100273,1.0,0.37921120866962593,13397.207648095853,14256.407648095854,12342.885829582654,14920.485829582656
40,0.3129740033341685,0.2899199271083338,0.8929988137771376,0.6094381936604213,0.4831830658417963,1.0,0.369717339047021,15218.127899076131,13182.654613814622,14041.854613814623,12640.527899076133
41,0.3290469346695923,0.3032164740094215,0.8997766709275253,0.622345441720021,0.4871363580502092,1.0,0.3604098412556971,14170.38520795403,13356.941286191628,15120.912915220299,12589.068993457899
42,0.3449300729016603,0.316086165329521,0.9061715971461564,0.6350856381185696,0.4905666514771668,1.0,0.35133667792413315,12193.810691301096,14771.410691301095,13774.397881047567,14633.597881047568
43,0.36061672564141045,0.3284827481209488,0.912199333952341,0.6476553630977974,0.4934702632949502,1.0,0.3425215562771532,13875.028757327414,14734.228757327415,12156.628757327415,14734.228757327415
44,0.3761072951331866,0.3403601471942423,0.9178727429614602,0.6600512426578391,0.4958440761311493,1.0,0.3339824903227925,15562.927437584767,13109.526111619401,13968.726111619402,12985.327437584765
45,0.39136275204361304,0.3517158024081547,0.9232063469014582,0.6722699494628909,0.4976855414155328,1.0,0.3257503391004442,13837.271048686875,13180.239350064443,15555.671048686872,13180.239350064443
46,0.40634032624683325,0.3625539997901862,0.9282179250502373,0.6843082037343425,0.49899268211624104,1.0,0.31785896437551425,12251.665512869577,14829.265512869577,13970.065512869576,14829.265512869577
47,0.4210412148798022,0.3728350449538303,0.9329217876947846,0.6961627741311457,0.499764094862365,1.0,0.31032618748928903,14000.456897034754,14859.656897034754,12282.056897034756,14859.656897034754
48,0.4354757044546768,0.38251266039085097,0.9373279220813738,0.7078304786171784,0.49999895145063145,1.0,0.30316322492467496,15101.215268480144,13817.887756271677,14677.087756271678,12523.615268480145
49,0.4496429216421666,0.3915834546735655,0.9414522964439935,0.7193081853153764,0.4996969997345778,1.0,0.29637092746975596,14378.472202224504,13519.272202224503,15462.859031773689,12885.259031773687
50,0.46357218900493874,0.4000645106749539,0.9453176388293903,0.7305928133483999,0.4988585638952613,1.0,0.289914538096422,13390.699208714414,14249.899208714414,13074.320584519304,15651.920584519306
51,0.4772983479916783,0.4079529366313073,0.9489427349898205,0.7416813336656104,0.497484544093212,1.0,0.2837624290826657,14115.525246126406,14974.725246126407,12397.125246126408,14974.725246126407
52,0.4908113993601569,0.41524841254972905,0.9523405709326928,0.7525707698561385,0.4955764155020036,1.0,0.27792440929104245,14952.67820147994,14093.478201479938,15038.498768601763,12460.898768601764
53,0.5040942314298936,0.42199144278170697,0.9555292399895134,0.7632581989478183,0.4931362267244791,1.0,0.27240629735343114,14159.74679733728,13300.54679733728,15878.146797337282,13300.54679733728
54,0.517175565746124,0.4282236732342957,0.9585284358672274,0.773740752191781,0.49016659759333236,1.0,0.2671750576039289,13320.682377604455,14179.882377604456,13320.682377604455,15898.282377604457
55,0.5300923375179782,0.4339375480833213,0.9613482798053082,0.7840156158324909,0.4866707163584062,1.0,0.26220559448708686,14197.431965493553,15048.754605725426,12479.031965493556,15048.754605725426
56,0.5428352431383792,0.43911515575557697,0.9639941830207984,0.7940800318630229,0.4826523362637271,1.0,0.25751863778031653,15066.04295470699,14206.84295470699,15066.04295470699,12488.442954706992
57,0.5553876133787982,0.44378094369528015,0.9664782729859012,0.8039312987653733,0.47811577151795187,1.0,0.25313346307661716,14225.171689016737,13365.97168901674,15943.571689016739,13365.97168901674
58,0.567779202056342,0.44796484388752067,0.9688134217414824,0.8135667722356082,0.47306589266255183,1.0,0.2490264945095378,13788.398200855758,14647.598200855758,12977.890206925025,15555.490206925027
59,0.5800491812191904,0.4516680413843687,0.9710092249283774,0.8229838658936564,0.4675081213427074,1.0,0.24517062260846467,14338.555859385844,15033.837596051224,12620.155859385843,15033.837596051224
60,0.5921912503066714,0.4549061035421711,0.9730749706551585,0.8321800519775505,0.4614484244865279,1.0,0.24158307907629642,14589.369485834468,13730.16948583447,15666.968673683197,13089.368673683199
61,0.6041931804496548,0.457712343257155,0.9750230786444105,0.8411528620219375,0.45489330789884475,1.0,0.23828907707151065,14281.448469248266,13422.248469248265,15999.848469248267,13422.248469248265
62,0.6160920933286621,0.4600914048566949,0.9768622633089576,0.8498998875206699,0.44784980927645673,1.0,0.23526856174692445,14289.7834179063,15148.9834179063,12571.383417906301,15148.9834179063
63,0.6279360645986892,0.4620390791893206,0.9785977096829386,0.8584187805733039,0.4403254906523262,1.0,0.2324904736134463,14297.776309217224,15156.976309217225,12579.376309217227,15156.976309217225
64,0.6397291866431292,0.46359475592595767,0.9802384986675658,0.866707254515329,0.4323284302768376,1.0,0.22997204906141439,14307.081473105678,13447.881473105677,16025.48147310568,13447.881473105677
65,0.6514693425606529,0.4648024305674856,0.9817905798224357,0.8747630845319613,0.4238672139448355,1.0,0.2277440891586335,14812.353365192375,12953.876941296938,15531.47694129694,13953.153365192375
66,0.6631783582458612,0.46565677618387863,0.9832580290084907,0.8825841082553333,0.4149509257777537,1.0,0.22581023005016357,14319.156381903918,15178.35638190392,12600.756381903917,15178.35638190392
